# name, t50, t90, fluence, fluence_batse, flux_256, flux_batse_1024, pflx_best_fitting_model, pflx_best_model_redchisq
GRB120801920, 435.206, 479.239, 3.34E-05, 1.82E-05, 21.0562, 3.7845, pflx_comp, 1.096
GRB130829672, 2.048, 6.656, 3.68E-06, 2.14E-06, 11.66, 3.7804, pflx_comp, 1.084
GRB120830212, 4.032, 16.064, 7.52E-06, 3.97E-06, 13.5641, 3.761, pflx_comp, 1.075
GRB120605453, 3.389, 18.112, 3.25E-06, 1.71E-06, 11.4072, 3.7435, pflx_comp, 1.119
GRB130715906, 19.456, 47.873, 4.11E-05, 2.09E-05, 8.3125, 3.7312, pflx_comp, 0.913
GRB150324319, 6.144, 13.056, 7.81E-06, 5.17E-06, 8.4962, 3.7199, pflx_comp, 1.043
GRB140928100, 3.072, 7.68, 2.78E-06, 1.22E-06, 16.0144, 3.7079, pflx_comp, 1.016
GRB141005217, 1.536, 3.392, 2.50E-06, 1.65E-06, 8.3927, 3.6925, pflx_comp, 0.969
GRB130804023, 0.768, 0.96, 1.66E-06, 8.10E-07, 17.0423, 3.6683, pflx_comp, 1.16
GRB141207800, 10.24, 20.992, 3.42E-05, 9.99E-06, 10.1673, 3.6643, pflx_sbpl, 1.229
GRB160401065, 6.656, 20.992, 9.31E-06, 5.27E-06, 11.6535, 3.6605, pflx_comp, 1.13
GRB110517573, 16.384, 23.04, 8.74E-06, 5.82E-06, 10.7061, 3.6507, pflx_comp, 1.019
GRB130409960, 7.68, 26.112, 7.87E-06, 4.41E-06, 9.8856, 3.6269, pflx_comp, 1.042
GRB141118678, 1.536, 4.352, 3.30E-06, 1.71E-06, 8.3235, 3.6184, pflx_comp, 1.069
GRB130523095, 9.472, 17.92, 6.03E-06, 3.39E-06, 12.7766, 3.6146, pflx_comp, 1.091
GRB101021009, 40.065, 120.77, 2.23E-05, 1.10E-05, 11.84, 3.5968, pflx_comp, 0.941
GRB110729142, 354.31, 408.582, 4.64E-05, 2.54E-05, 7.9485, 3.5827, pflx_comp, 1.092
GRB131105087, 73.985, 112.642, 2.38E-05, 1.32E-05, 10.0605, 3.574, pflx_comp, 0.968
GRB100924165, 3.776, 9.024, 3.33E-06, 1.73E-06, 9.1979, 3.5552, pflx_comp, 1.195
GRB091031500, 8.192, 33.921, 1.53E-05, 8.04E-06, 8.3937, 3.5367, pflx_comp, 1.06
GRB120512112, 7.36, 18.176, 1.24E-05, 6.69E-06, 7.4153, 3.5337, pflx_comp, 0.907
GRB131113483, 20.352, 60.545, 2.30E-05, 1.32E-05, 7.7898, 3.5265, pflx_comp, 0.972
GRB140501497, 7.552, 22.144, 6.97E-06, 3.97E-06, 8.8788, 3.5189, pflx_comp, 1.054
GRB140917512, 8.448, 16.512, 6.22E-06, 2.97E-06, 8.3599, 3.5185, pflx_comp, 0.904
GRB120316008, 11.264, 26.624, 1.63E-05, 7.58E-06, 10.5396, 3.5166, pflx_comp, 0.918
GRB091020977, 21.696, 37.505, 1.07E-05, 5.22E-06, 7.0631, 3.4968, pflx_comp, 1.014
GRB081121858, 9.472, 41.985, 1.53E-05, 8.47E-06, 10.3716, 3.4956, pflx_comp, 0.981
GRB130518551, 1.28, 4.096, 3.73E-06, 1.42E-06, 13.6362, 3.4678, pflx_comp, 1.012
GRB130828808, 1.344, 3.904, 2.78E-06, 1.42E-06, 10.4831, 3.4525, pflx_comp, 1.037
GRB130131511, 55.553, 147.459, 3.92E-05, 2.38E-05, 9.7203, 3.4417, pflx_comp, 0.98
GRB140824606, 12.544, 108.802, 1.26E-05, 7.90E-06, 11.4326, 3.4178, pflx_comp, 1.061
GRB110705151, 0.128, 0.192, 2.85E-06, 7.49E-07, 28.7194, 3.3918, pflx_comp, 1.046
GRB141016897, 3.84, 17.405, 3.58E-06, 2.12E-06, 8.261, 3.3895, pflx_comp, 1.168
GRB130215649, 26.368, 58.113, 2.15E-05, 1.24E-05, 9.7985, 3.3802, pflx_comp, 1.112
GRB160216801, 2.816, 7.677, 9.90E-06, 2.60E-06, 57.9309, 3.38, pflx_plaw, 1.556
GRB130803419, 1.792, 7.616, 2.82E-06, 1.79E-06, 7.9968, 3.3744, pflx_comp, 1.032
GRB150528656, 6.656, 13.056, 4.76E-06, 2.57E-06, 8.2126, 3.3725, pflx_comp, 0.887
GRB130623790, 25.088, 42.241, 8.69E-06, 4.37E-06, 11.7683, 3.3676, pflx_plaw, 1.217
GRB150811849, 0.192, 0.64, 3.43E-06, 7.88E-07, 19.4564, 3.3538, pflx_comp, 1.036
GRB100805845, 30.721, 58.43, 1.06E-05, 6.01E-06, 6.8404, 3.3516, pflx_comp, 1.129
GRB081126899, 31.233, 54.145, 1.14E-05, 5.37E-06, 7.187, 3.3409, pflx_comp, 0.994
GRB110402009, 21.952, 35.649, 1.08E-05, 3.87E-06, 15.2351, 3.3345, pflx_plaw, 1.055
GRB100704149, 11.648, 214.404, 1.04E-05, 6.06E-06, 7.8517, 3.3315, pflx_comp, 1.118
GRB090516853, 6.173, 14.464, 5.00E-06, 2.25E-06, 9.2801, 3.3135, pflx_comp, 0.998
GRB160310016, 8.448, 18.173, 4.44E-06, 2.51E-06, 8.8912, 3.3134, pflx_comp, 0.945
GRB120716712, 25.6, 237.056, 1.44E-05, 8.29E-06, 13.9295, 3.2982, pflx_comp, 1.11
GRB110105877, 72.705, 123.394, 2.09E-05, 1.25E-05, 9.3648, 3.2896, pflx_comp, 1.118
GRB110428338, 59.137, 101.634, 1.58E-05, 6.84E-06, 11.0407, 3.2643, pflx_comp, 0.955
GRB140723499, 23.552, 45.056, 2.35E-05, 9.91E-06, 18.4189, 3.2634, pflx_comp, 1.016
GRB111228453, 1.28, 2.944, 2.75E-06, 9.17E-07, 22.396, 3.2612, pflx_comp, 1.122
GRB150619287, 37.633, 57.089, 1.63E-05, 8.54E-06, 14.1592, 3.2482, pflx_comp, 1.18
GRB120304061, 3.328, 9.984, 5.05E-06, 2.08E-06, 21.1866, 3.2454, pflx_comp, 1.132
GRB091103912, 4.288, 13.568, 5.60E-06, 3.30E-06, 7.7246, 3.2341, pflx_comp, 0.852
GRB090623107, 21.248, 47.105, 1.18E-05, 5.58E-06, 8.1605, 3.23, pflx_comp, 1.018
GRB150323395, 37.377, 56.321, 1.92E-05, 1.07E-05, 9.6969, 3.2256, pflx_comp, 1.006
GRB151011136, 8.704, 25.344, 7.55E-06, 4.46E-06, 8.7943, 3.225, pflx_comp, 0.996
GRB100313288, 3.904, 12.864, 4.40E-06, 2.77E-06, 6.7025, 3.2242, pflx_comp, 0.986
GRB090612619, 23.68, 42.433, 5.82E-06, 3.29E-06, 6.4672, 3.2184, pflx_comp, 1.146
GRB100211440, 8.96, 21.376, 1.52E-05, 7.80E-06, 12.1479, 3.2038, pflx_comp, 1.064
GRB101225377, 12.352, 81.218, 2.02E-05, 1.14E-05, 7.9742, 3.2014, pflx_comp, 1.037
GRB130606316, 9.28, 24.128, 9.36E-06, 4.66E-06, 13.8092, 3.1821, pflx_comp, 1.057
GRB100517639, 2.816, 5.44, 2.91E-06, 1.81E-06, 9.8268, 3.1718, pflx_comp, 1.019
GRB141004150, 3.072, 9.472, 4.10E-06, 2.29E-06, 10.432, 3.1586, pflx_comp, 1.08
GRB120830297, 0.576, 0.896, 3.07E-06, 7.92E-07, 9.0122, 3.142, pflx_comp, 0.906
GRB121113544, 49.665, 95.49, 2.68E-05, 1.57E-05, 9.3102, 3.1418, pflx_comp, 1.034
GRB100814351, 3.072, 7.424, 4.15E-06, 2.50E-06, 11.5627, 3.1379, pflx_plaw, 1.727
GRB130517781, 17.92, 33.28, 1.97E-05, 1.09E-05, 10.286, 3.1297, pflx_comp, 1.048
GRB100527795, 51.905, 184.579, 1.39E-05, 8.36E-06, 7.3858, 3.1266, pflx_comp, 0.986
GRB100517072, 36.352, 55.808, 6.59E-06, 3.15E-06, 16.0894, 3.1256, pflx_comp, 1.017
GRB101227406, 39.681, 153.347, 1.38E-05, 7.96E-06, 7.6545, 3.116, pflx_plaw, 1.029
GRB120519721, 0.448, 0.96, 2.41E-06, 7.68E-07, 9.2676, 3.1153, pflx_comp, 0.939
GRB130828306, 67.329, 136.45, 3.72E-05, 2.13E-05, 6.8992, 3.1095, pflx_comp, 0.974
GRB100517154, 24.576, 30.464, 2.79E-06, 1.27E-06, 11.6437, 3.1041, pflx_comp, 0.996
GRB130528695, 25.856, 55.553, 1.11E-05, 6.61E-06, 6.7416, 3.0974, pflx_comp, 0.903
GRB140608713, 1.28, 6.4, 1.95E-06, 1.15E-06, 9.2647, 3.0937, pflx_comp, 0.986
GRB090108020, 0.256, 0.704, 7.47E-07, 5.17E-07, 18.6433, 3.0933, pflx_comp, 1.13
GRB130304410, 20.992, 67.841, 3.70E-05, 1.53E-05, 12.1739, 3.0884, pflx_comp, 0.908
GRB150919606, 3.072, 6.656, 2.32E-06, 1.47E-06, 7.2335, 3.0838, pflx_comp, 1.005
GRB080816503, 23.296, 64.769, 1.33E-05, 8.23E-06, 8.9055, 3.059, pflx_comp, 0.919
GRB110618366, 51.201, 163.843, 6.24E-05, 3.37E-05, 13.2009, 3.0585, pflx_comp, 1.069
GRB150228981, 22.528, 36.609, 1.15E-05, 6.67E-06, 10.0809, 3.0581, pflx_comp, 1.075
GRB150127398, 20.48, 52.736, 1.13E-05, 4.36E-06, 14.41, 3.0527, pflx_comp, 1.114
GRB081107321, 0.896, 1.664, 1.22E-06, 6.78E-07, 11.9777, 3.0522, pflx_plaw, 1.109
GRB090308734, 0.576, 1.664, 2.55E-06, 1.01E-06, 8.4962, 3.041, pflx_comp, 1.021
GRB150324164, 2.304, 4.608, 4.85E-06, 2.00E-06, 6.9778, 3.0246, pflx_comp, 0.886
GRB140824548, 1.536, 4.096, 2.69E-06, 1.31E-06, 16.0641, 3.001, pflx_plaw, 1.323
GRB090618353, 23.808, 112.386, 2.68E-04, 1.42E-04, 72.0022, 29.9752, pflx_comp, 1.37
GRB100707032, 20.672, 81.793, 8.77E-05, 4.36E-05, 52.2671, 29.0142, pflx_band, 1.234
GRB150627183, 44.929, 64.577, 1.80E-04, 9.30E-05, 75.7634, 28.8326, pflx_band, 1.14
GRB100719989, 3.328, 21.824, 5.19E-05, 2.66E-05, 76.7103, 28.657, pflx_band, 1.208
GRB101014175, 200.131, 449.415, 2.01E-04, 1.05E-04, 69.2877, 28.31, pflx_band, 1.014
GRB131028076, 5.888, 17.152, 1.53E-04, 5.12E-05, 64.0409, 27.5352, pflx_band, 1.074
GRB140209313, 0.32, 1.408, 8.97E-06, 5.73E-06, 106.734, 27.0919, pflx_sbpl, 1.051
GRB130606497, 35.329, 52.225, 2.01E-04, 8.86E-05, 71.3188, 26.4792, pflx_band, 1.182
GRB130502327, 10.24, 24.32, 1.05E-04, 5.70E-05, 70.1689, 26.1424, pflx_comp, 1.167
GRB150330828, 13.056, 153.859, 1.44E-04, 7.02E-05, 73.2831, 25.6102, pflx_band, 1.111
GRB110825102, 4.608, 62.465, 4.61E-05, 2.46E-05, 65.674, 25.0816, pflx_comp, 0.997
GRB140102887, 1.92, 3.648, 1.78E-05, 1.08E-05, 59.1356, 25.034, pflx_band, 1.03
GRB100829876, 1.344, 8.704, 1.50E-05, 9.07E-06, 68.6708, 23.2217, pflx_sbpl, 1.056
GRB130704560, 2.304, 6.4, 2.43E-05, 1.38E-05, 75.8584, 23.03, pflx_band, 1.422
GRB120707800, 16.64, 40.96, 9.36E-05, 5.21E-05, 67.087, 22.5978, pflx_band, 0.941
GRB130518580, 6.848, 48.577, 9.46E-05, 4.46E-05, 49.7624, 21.3267, pflx_band, 1.043
GRB151231443, 62.209, 71.425, 8.59E-05, 5.04E-05, 51.6737, 21.2986, pflx_comp, 0.997
GRB090719063, 3.904, 11.392, 4.68E-05, 2.69E-05, 39.103, 21.1715, pflx_comp, 0.956
GRB140206275, 24.576, 146.69, 1.23E-04, 5.82E-05, 45.5933, 20.9962, pflx_band, 1.048
GRB140523129, 9.216, 19.2, 5.12E-05, 2.71E-05, 46.7236, 20.5022, pflx_comp, 1.128
GRB150810485, 0.256, 1.28, 1.87E-06, 7.33E-07, 11.2742, 2.9989, pflx_comp, 1.051
GRB120118898, 12.8, 17.152, 1.62E-06, 8.87E-07, 13.0075, 2.9797, pflx_comp, 1.12
GRB151229285, 0.64, 3.456, 1.11E-06, 5.84E-07, 13.7762, 2.9668, pflx_comp, 1.127
GRB130815420, 53.505, 236.292, 4.59E-05, 2.71E-05, 9.6905, 2.9428, pflx_comp, 1.056
GRB100330309, 4.096, 10.048, 4.30E-06, 2.44E-06, 7.8586, 2.9423, pflx_comp, 1.069
GRB080824909, 2.752, 7.424, 2.73E-06, 1.58E-06, 11.1985, 2.9277, pflx_comp, 1.052
GRB080904886, 4.608, 17.344, 5.24E-06, 2.13E-06, 17.385, 2.9247, pflx_comp, 1.075
GRB120926335, 1.536, 4.288, 2.48E-06, 1.19E-06, 15.835, 2.9122, pflx_comp, 1.285
GRB091020900, 6.912, 24.256, 8.35E-06, 4.52E-06, 7.8407, 2.8961, pflx_comp, 1.001
GRB101112924, 1.792, 9.472, 2.26E-06, 1.39E-06, 9.0103, 2.8897, pflx_comp, 0.995
GRB100714686, 1.28, 5.632, 1.56E-06, 8.34E-07, 17.3991, 2.8778, pflx_comp, 1.117
GRB110705364, 10.752, 19.2, 8.94E-06, 4.98E-06, 7.0917, 2.8639, pflx_comp, 0.984
GRB100604287, 3.968, 13.44, 5.51E-06, 3.05E-06, 8.0864, 2.8462, pflx_comp, 0.952
GRB140311618, 3.072, 14.336, 3.97E-06, 2.07E-06, 11.6954, 2.8436, pflx_comp, 1.306
GRB150831930, 3.645, 13.76, 2.72E-06, 1.43E-06, 10.9867, 2.8331, pflx_comp, 1.08
GRB081009690, 25.088, 176.191, 1.08E-05, 6.21E-06, 6.4417, 2.8288, pflx_comp, 0.97
GRB080714745, 25.088, 59.649, 6.33E-06, 3.26E-06, 7.7773, 2.822, pflx_comp, 0.987
GRB120130699, 13.184, 27.776, 6.61E-06, 3.55E-06, 10.5992, 2.8116, pflx_plaw, 1.102
GRB150817251, 6.144, 13.312, 7.28E-06, 4.15E-06, 7.705, 2.8068, pflx_comp, 1.092
GRB090802235, 0.064, 0.128, 1.14E-06, 5.79E-07, 21.0796, 2.8026, pflx_comp, 0.864
GRB100325275, 4.096, 7.104, 3.35E-06, 2.11E-06, 5.8637, 2.7994, pflx_comp, 0.909
GRB110929187, 1.792, 5.12, 2.20E-06, 1.35E-06, 6.0193, 2.7938, pflx_comp, 1.227
GRB120213606, 4.352, 13.824, 2.68E-06, 1.60E-06, 7.4247, 2.7829, pflx_comp, 0.891
GRB150530488, 2.56, 7.168, 3.49E-06, 2.21E-06, 7.1512, 2.7807, pflx_comp, 0.975
GRB131215298, 10.752, 23.04, 8.05E-06, 3.83E-06, 6.4173, 2.7771, pflx_comp, 0.793
GRB160102936, 4.864, 10.496, 3.02E-06, 1.95E-06, 7.1308, 2.7688, pflx_comp, 0.938
GRB150512432, 82.433, 123.138, 1.44E-05, 8.26E-06, 6.4673, 2.7584, pflx_comp, 0.932
GRB120130938, 9.216, 38.913, 1.04E-05, 6.12E-06, 6.7497, 2.7576, pflx_comp, 0.969
GRB090202347, 5.376, 12.608, 4.95E-06, 2.93E-06, 6.4345, 2.7388, pflx_comp, 1.096
GRB150705009, 4.093, 20.992, 3.82E-06, 2.38E-06, 7.2419, 2.7385, pflx_comp, 0.983
GRB120107384, 16.192, 23.04, 6.53E-06, 3.90E-06, 6.7764, 2.7369, pflx_comp, 1.011
GRB100615083, 26.368, 37.377, 8.72E-06, 4.86E-06, 9.4497, 2.7334, pflx_comp, 1.061
GRB150614073, 2.048, 5.12, 2.38E-06, 1.57E-06, 6.2566, 2.7329, pflx_comp, 1.077
GRB131108024, 5.376, 14.592, 2.82E-06, 1.56E-06, 8.4028, 2.7311, pflx_comp, 1.014
GRB141004973, 0.768, 2.56, 1.18E-06, 6.79E-07, 16.7629, 2.7255, pflx_comp, 1.06
GRB080806896, 28.032, 75.777, 1.33E-05, 6.16E-06, 9.3221, 2.7165, pflx_comp, 1.07
GRB110118857, 4.096, 34.561, 2.97E-06, 1.60E-06, 10.6404, 2.7127, pflx_comp, 0.956
GRB100503554, 35.009, 129.602, 1.73E-05, 9.69E-06, 7.7482, 2.7104, pflx_comp, 0.88
GRB130818941, 4.352, 25.344, 3.53E-06, 2.06E-06, 7.9857, 2.6996, pflx_comp, 0.952
GRB100926595, 13.568, 32.256, 6.97E-06, 3.77E-06, 9.5161, 2.6901, pflx_comp, 1.088
GRB090305052, 0.448, 1.856, 1.94E-06, 7.73E-07, 8.0366, 2.6842, pflx_comp, 1.016
GRB081223419, 0.256, 0.576, 8.34E-07, 5.04E-07, 12.8137, 2.6801, pflx_comp, 1.033
GRB150707124, 79.616, 112.384, 2.53E-05, 1.32E-05, 11.9658, 2.6674, pflx_comp, 1.021
GRB100410740, 14.08, 22.016, 6.21E-06, 2.92E-06, 13.2279, 2.6659, pflx_comp, 0.971
GRB081217983, 7.424, 29.696, 9.62E-06, 5.29E-06, 6.0733, 2.6654, pflx_comp, 1.224
GRB120827216, 1.984, 5.056, 3.37E-06, 1.72E-06, 5.9957, 2.6653, pflx_comp, 0.962
GRB130925173, 94.977, 215.555, 8.48E-05, 4.08E-05, 12.339, 2.6608, pflx_comp, 1.039
GRB110505203, 1.6, 4.096, 2.03E-06, 1.01E-06, 11.7768, 2.66, pflx_comp, 1.003
GRB130514560, 4.608, 17.408, 2.27E-06, 1.28E-06, 7.0606, 2.6581, pflx_comp, 0.991
GRB090129880, 6.144, 16.64, 5.57E-06, 2.70E-06, 7.137, 2.6564, pflx_comp, 0.949
GRB110813237, 4.608, 22.784, 4.77E-06, 2.59E-06, 10.8917, 2.6504, pflx_comp, 0.935
GRB090411838, 9.216, 21.501, 6.67E-06, 3.80E-06, 6.9586, 2.6465, pflx_comp, 1.068
GRB140807500, 0.192, 0.512, 1.29E-06, 5.09E-07, 17.8483, 2.6454, pflx_comp, 0.902
GRB101024486, 13.824, 20.224, 3.33E-06, 1.92E-06, 12.2751, 2.6425, pflx_comp, 1.316
GRB150802127, 35.329, 313.093, 1.46E-05, 8.27E-06, 7.3412, 2.6356, pflx_comp, 1.121
GRB120618128, 5.888, 17.6, 5.58E-06, 3.79E-06, 4.9391, 2.6296, pflx_comp, 1.144
GRB130214800, 4.288, 13.76, 5.98E-06, 3.23E-06, 9.079, 2.6248, pflx_comp, 0.963
GRB100612545, 0.32, 0.576, 2.24E-06, 6.06E-07, 9.2894, 2.6233, pflx_plaw, 1.251
GRB100816009, 22.72, 62.401, 2.53E-05, 1.48E-05, 9.1658, 2.6198, pflx_plaw, 1.031
GRB130112286, 14.848, 35.328, 2.61E-06, 1.52E-06, 8.4695, 2.6135, pflx_comp, 0.978
GRB140916234, 5.632, 31.233, 6.09E-06, 2.35E-06, 14.0822, 2.61, pflx_comp, 0.997
GRB151222340, 0.256, 0.768, 2.14E-06, 5.82E-07, 11.3399, 2.6041, pflx_comp, 1.028
GRB091123298, 365.574, 604.491, 6.40E-05, 3.40E-05, 8.8868, 2.5859, pflx_comp, 1.055
GRB090831317, 22.272, 39.424, 9.44E-06, 4.82E-06, 21.5633, 2.5844, pflx_comp, 1.156
GRB120217808, 1.536, 5.888, 1.75E-06, 8.23E-07, 10.5863, 2.5806, pflx_comp, 1.188
GRB110421757, 12.032, 40.449, 1.06E-05, 5.49E-06, 7.948, 2.5692, pflx_comp, 1.142
GRB110903111, 203.779, 341.254, 3.47E-05, 1.89E-05, 5.9653, 2.5667, pflx_comp, 0.932
GRB090907808, 0.448, 0.832, 1.05E-06, 5.84E-07, 6.9901, 2.5589, pflx_plaw, 0.999
GRB120703417, 36.609, 64.513, 1.11E-05, 5.49E-06, 8.2771, 2.5511, pflx_comp, 1.042
GRB120121251, 10.752, 37.121, 1.15E-05, 6.64E-06, 8.8656, 2.5495, pflx_comp, 0.929
GRB110722694, 22.336, 73.473, 2.11E-05, 1.15E-05, 6.1355, 2.528, pflx_comp, 1.04
GRB140319964, 13.056, 50.369, 7.13E-06, 4.12E-06, 9.2304, 2.5237, pflx_comp, 1.046
GRB150607330, 13.824, 26.173, 3.99E-06, 2.35E-06, 8.2845, 2.5222, pflx_comp, 0.947
GRB091220442, 5.696, 18.368, 5.83E-06, 3.09E-06, 9.9153, 2.5172, pflx_comp, 1.173
GRB100513879, 3.456, 11.136, 3.71E-06, 2.19E-06, 8.5554, 2.5172, pflx_comp, 1.021
GRB151001348, 307.717, 377.862, 2.02E-05, 1.09E-05, 6.5924, 2.5015, pflx_comp, 1.087
GRB160223072, 18.176, 117.762, 8.94E-06, 5.36E-06, 6.7054, 2.5, pflx_comp, 0.91
GRB101013412, 7.68, 15.36, 6.41E-06, 3.48E-06, 10.7921, 2.4957, pflx_comp, 1.005
GRB100916779, 10.24, 12.8, 1.78E-06, 9.24E-07, 14.7225, 2.485, pflx_comp, 1.243
GRB110328520, 33.793, 141.315, 1.90E-05, 8.88E-06, 6.3469, 2.4842, pflx_comp, 0.988
GRB080730520, 4.096, 17.408, 4.87E-06, 3.00E-06, 6.3375, 2.4789, pflx_comp, 1.157
GRB090520850, 2.048, 3.776, 3.32E-06, 2.06E-06, 6.7364, 2.4773, pflx_comp, 0.944
GRB100502356, 53.633, 95.81, 1.56E-05, 8.66E-06, 6.2422, 2.4762, pflx_comp, 1.098
GRB121023322, 0.32, 0.512, 7.73E-07, 4.44E-07, 8.5754, 2.4731, pflx_plaw, 1.151
GRB140516765, 6.912, 22.016, 6.61E-06, 3.58E-06, 7.5767, 2.4632, pflx_comp, 1.052
GRB111230819, 9.216, 12.736, 3.51E-06, 2.18E-06, 7.462, 2.4616, pflx_comp, 1.05
GRB160310291, 12.288, 23.613, 2.54E-06, 1.43E-06, 8.6345, 2.4599, pflx_comp, 1.06
GRB120402669, 2.524, 20.224, 3.75E-06, 1.33E-06, 18.3903, 2.4575, pflx_comp, 1.109
GRB110304071, 14.848, 19.52, 3.46E-06, 2.21E-06, 6.0627, 2.4547, pflx_comp, 1.026
GRB090730608, 3.648, 9.088, 3.18E-06, 1.92E-06, 5.625, 2.4413, pflx_comp, 1.158
GRB150602840, 4.352, 10.496, 4.71E-06, 2.97E-06, 4.3971, 2.4403, pflx_comp, 0.954
GRB101129726, 0.256, 0.576, 8.08E-07, 4.60E-07, 10.5412, 2.4338, pflx_plaw, 0.938
GRB131126163, 0.048, 0.128, 1.70E-06, 5.47E-07, 18.6993, 2.4311, pflx_comp, 0.992
GRB120323162, 1.536, 4.352, 1.41E-06, 9.31E-07, 6.7632, 2.4289, pflx_comp, 0.968
GRB150118927, 0.048, 0.288, 6.98E-07, 3.62E-07, 18.4968, 2.4231, pflx_comp, 1.02
GRB110610640, 30.72, 43.521, 8.02E-06, 4.74E-06, 6.7812, 2.416, pflx_comp, 0.964
GRB081207680, 35.905, 97.281, 4.86E-05, 2.61E-05, 5.161, 2.4103, pflx_comp, 1.096
GRB110904124, 14.848, 83.905, 1.11E-05, 6.26E-06, 9.2844, 2.3992, pflx_comp, 1.069
GRB100814160, 72.193, 150.53, 1.49E-05, 9.85E-06, 5.0446, 2.3967, pflx_comp, 1.064
GRB111203054, 14.08, 55.553, 4.65E-06, 2.61E-06, 7.4887, 2.3846, pflx_comp, 0.958
GRB150226545, 52.481, 174.595, 8.63E-06, 4.94E-06, 6.3817, 2.3821, pflx_comp, 0.944
GRB120412920, 11.264, 101.182, 7.03E-06, 3.91E-06, 8.2533, 2.3769, pflx_comp, 1.036
GRB151231568, 0.192, 0.832, 1.20E-06, 5.34E-07, 13.2432, 2.376, pflx_comp, 1.065
GRB110928180, 15.424, 148.226, 1.42E-05, 8.23E-06, 5.1472, 2.3724, pflx_comp, 1.04
GRB111103441, 7.68, 11.968, 2.98E-06, 1.92E-06, 6.471, 2.3719, pflx_comp, 1.12
GRB120806007, 7.68, 26.624, 4.90E-06, 2.21E-06, 8.6474, 2.3714, pflx_comp, 1.041
GRB110720177, 4.352, 11.2, 5.63E-06, 3.27E-06, 6.3316, 2.3647, pflx_comp, 0.998
GRB130109206, 2.816, 8.96, 2.54E-06, 1.40E-06, 7.8543, 2.3597, pflx_comp, 0.993
GRB090902401, 0.896, 3.2, 1.67E-06, 7.35E-07, 6.2348, 2.3529, pflx_plaw, 1.052
GRB150911588, 22.528, 46.081, 9.09E-06, 5.55E-06, 5.3, 2.3479, pflx_comp, 0.942
GRB141102536, 0.32, 2.624, 1.42E-06, 6.53E-07, 10.4768, 2.3462, pflx_comp, 0.998
GRB100829374, 11.52, 94.977, 7.29E-06, 3.93E-06, 7.4117, 2.342, pflx_comp, 1.003
GRB131217183, 4.608, 9.216, 5.75E-06, 2.89E-06, 10.2603, 2.3384, pflx_comp, 1.133
GRB140330180, 9.984, 34.049, 5.69E-06, 3.08E-06, 4.863, 2.3322, pflx_comp, 1.014
GRB090904058, 34.305, 56.065, 2.17E-05, 1.16E-05, 8.704, 2.3264, pflx_comp, 0.777
GRB100625773, 0.064, 0.192, 1.10E-06, 4.56E-07, 15.4213, 2.324, pflx_plaw, 1.071
GRB121127914, 0.128, 0.64, 1.58E-06, 5.58E-07, 13.6266, 2.323, pflx_comp, 0.973
GRB140104731, 141.313, 188.417, 3.33E-05, 1.59E-05, 6.5551, 2.3167, pflx_comp, 1.115
GRB081118876, 4.608, 20.736, 4.94E-06, 2.71E-06, 8.0158, 2.3157, pflx_comp, 1.014
GRB120226447, 4.864, 14.592, 5.85E-06, 3.20E-06, 8.7234, 2.3124, pflx_comp, 1.103
GRB110415541, 154.37, 166.146, 4.72E-06, 2.67E-06, 5.4222, 2.3101, pflx_comp, 0.956
GRB090910812, 26.881, 53.441, 1.87E-05, 1.07E-05, 7.1454, 2.308, pflx_comp, 1.04
GRB100811108, 0.256, 0.384, 2.93E-06, 5.83E-07, 14.7599, 2.3065, pflx_comp, 1.274
GRB110730660, 14.656, 33.856, 7.97E-06, 4.00E-06, 7.7294, 2.2978, pflx_plaw, 1.059
GRB130527627, 9.408, 27.776, 1.09E-05, 6.14E-06, 5.1072, 2.2959, pflx_comp, 0.918
GRB080830368, 9.088, 40.897, 7.00E-06, 3.83E-06, 5.329, 2.2924, pflx_comp, 0.901
GRB090426690, 1.984, 7.488, 3.54E-06, 1.41E-06, 7.13, 2.2918, pflx_comp, 1.012
GRB121123442, 17.408, 42.497, 1.42E-05, 7.97E-06, 7.7827, 2.2902, pflx_comp, 1.131
GRB091109895, 20.224, 30.977, 2.02E-06, 1.15E-06, 9.4188, 2.288, pflx_comp, 1.013
GRB130523198, 2.56, 5.376, 2.71E-06, 1.29E-06, 10.4975, 2.2868, pflx_comp, 1.033
GRB150502435, 36.865, 109.314, 2.55E-05, 1.42E-05, 6.1741, 2.2847, pflx_comp, 1.006
GRB151120349, 9.216, 28.416, 9.65E-06, 5.12E-06, 8.0526, 2.2847, pflx_comp, 0.92
GRB140626843, 0.768, 1.792, 9.93E-07, 6.33E-07, 8.4502, 2.2833, pflx_plaw, 1.159
GRB110702187, 16.384, 34.369, 7.99E-06, 4.37E-06, 6.2626, 2.277, pflx_plaw, 0.987
GRB090428441, 1.152, 3.968, 1.04E-06, 6.16E-07, 8.4388, 2.2645, pflx_comp, 0.891
GRB150612702, 24.32, 68.353, 1.98E-05, 1.12E-05, 5.6442, 2.258, pflx_comp, 1.032
GRB141221338, 11.008, 23.808, 4.07E-06, 2.14E-06, 7.0535, 2.2549, pflx_comp, 1.057
GRB080816989, 0.896, 4.608, 3.30E-06, 8.14E-07, 7.1948, 2.254, pflx_comp, 0.98
GRB130218261, 19.2, 37.121, 9.43E-06, 5.12E-06, 9.7561, 2.2512, pflx_plaw, 1.211
