GRB,GRB X-ray position,Error,Instrument,redshift,adatok
130930A,12h42m39s -35° 30',3,Swift,NA,NA
130929A,09h00m17s -47° 34',3,Swift,NA,NA
130925A,02h44m44s -26° 08',3,Swift,0.347,4.7835999623
130919A,13h49m09s -10° 21',3,Swift,NA,NA
130913A,22h47m50s +01° 18',3.3,Swift,NA,NA
130912AS,03h10m28s +13° 58',3,Swift,NA,NA
130907A,14h23m31s +45° 37',3,Swift,1.238,9.8163360938
130903A,05h28m33s -00° 07',2.6,INTEGRAL,NA,NA
130831B,12h49m47s -29° 11',3,Swift,NA,NA
130831A,23h54m36s +29° 27',3,Swift,0.4791,5.2970392317
130829A,12h09m42s +46° 31',3,Swift,NA,NA
130828A,17h19m19s +28° 00',18,Fermi,NA,NA
130822AS,01h51m46s -03° 13',3,Swift,NA,NA
130821A,20h56m24s -12° 00',6,Fermi,NA,NA
130816B,11h20m22s -57° 33',3,Swift,NA,NA
130816A,13h08m40s -58° 57',3,Swift,NA,NA
130812B,00h29m37s -79° 11',66*8,IPN,NA,NA
130812A,06h09m37s -13° 18',3,Swift,NA,NA
130807A,17h59m12s -27° 37',3,Swift,NA,NA
130806A,02h23m29s +67° 32',3,Swift,NA,NA
130804A,20h14m37s -79° 35',948*3,IPN,NA,NA
130803A,14h40m58s -02° 28',3,Swift,NA,NA
130727A,22h03m12s -65° 34',3,Swift,NA,NA
130725B,14h16m58s -11° 08',3,Swift,NA,NA
130725A,15h20m08s +00° 38',3,Swift,NA,NA
130722A,17h22m41s -02° 59',3,Swift,NA,NA
130719A,05h56m09s -11° 35',3,Swift,NA,NA
130716AS,11h58m18s +63° 03',3,Swift,NA,NA
130708A,14h29m15s +15° 46',3,Swift,NA,NA
130702A,15h12m36s +16° 35',412,Fermi,0.145,3.0717761468
130701A,23h48m52s +36° 06',3,Swift,1.155,8.8141208371
130627B,12h07m44s -55° 44',3,Swift,NA,NA
130627A,12h17m47s -37° 05',3,Swift,NA,NA
130626A,18h12m31s -09° 32',3,Swift,NA,NA
130625A,22h53m04s +82° 11',3,Swift,NA,NA
130623A,01h22m53s -77° 47',3,Swift,NA,NA
130615A,18h19m23s -68° 10',3,Swift,NA,NA
130612A,17h19m13s +16° 42',3,Swift,2.006,13.7188558526
130610B,11h45m26s -32° 11',103*18,IPN,NA,NA
130610A,14h57m40s +28° 11',3,Swift,2.092,14.1721590501
130609B,03h35m01s -40° 09',3,Swift,NA,NA
130609A,10h10m42s +24° 06',3,Swift,NA,NA
130608A,01h38m19s +41° 30',3,Swift,NA,NA
130606B,14h34m18s -22° 08',12,Fermi,NA,NA
130606A,16h37m37s +29° 47',3,Swift,5.913,32.1143841856
130605A,08h58m06s -33° 29',3,Swift,NA,NA
130604A,16h40m19s +68° 13',3,Swift,1.06,8.1362579624
130603BS,11h28m50s +17° 03',3,Swift,0.3564,3.9200821497
130603A,05h47m49s +82° 56',3,Swift,NA,NA
130529A,01h37m02s -64° 08',3,Swift,NA,NA
130528A,09h15m39s +87° 17',3,Swift,NA,NA
130527A,20h37m07s -24° 44',3,Swift,NA,NA
130521B,18h46m34s +22° 43',55*4,IPN,NA,NA
130521A,05h50m14s +14° 27',3,Swift,NA,NA
130518B,21h26m13s -20° 09',3,Swift,NA,NA
130518A,23h43m14s +47° 38',20,Fermi,2.488,14.6528438229
130515AS,18h53m41s -54° 17',3,Swift,NA,NA
130514B,09h50m26s -18° 58',3,INTEGRAL,NA,NA
130514A,19h45m06s -07° 57',3,Swift,3.6,20.2418511321
130513A,09h38m59s -05° 14',3,INTEGRAL,NA,NA
130511A,13h06m33s +18° 42',3,Swift,1.3033,10.2096306075
130508A,20h21m15s +34° 57',3,Swift,NA,NA
130505A,09h08m14s +17° 29',3,Swift,2.27,13.6512543923
130504C,06h06m52s +03° 51',18,Fermi,NA,NA
130504BS,23h11m49s -05° 44',90*2.9,Fermi,NA,NA
130504A,18h09m27s -16° 21',3,Swift,NA,NA
130502B,04h26m36s +71° 05',11,Fermi,NA,NA
130502A,09h14m19s -00° 09',3,Swift,NA,NA
130427B,20h59m34s -22° 32',3,Swift,2.78,17.4610419405
130427A,11h32m33s +27° 41',3,Swift,0.3399,3.8722526502
130420B,12h12m29s +54° 23',3,Swift,NA,NA
130420A,13h04m24s +59° 25',3,Swift,1.297,8.9408605632
130419A,23h41m05s +09° 59',3,Swift,NA,NA
130418A,09h56m10s +13° 39',3,Swift,1.218,8.7198150455
130408A,08h57m36s -32° 22',3,Swift,3.757,21.3767643107
130407A,16h32m23s +10° 31',15,MAXI,NA,NA
130327B,14h32m22s -69° 31',10,AGILE,NA,NA
130327A,06h07m58s +55° 44',3,Swift,NA,NA
130325A,08h11m07s -18° 54',15,Fermi,NA,NA
130315A,10h30m10s -51° 49',3,Swift,NA,NA
130313AS,15h45m42s -00° 22',3,Swift,NA,NA
130310A,09h29m21s -17° 14',27,Fermi,NA,NA
130306A,18h37m55s -11° 41',3,Swift,NA,NA
130305A,07h47m04s +52° 01',3,Swift,NA,NA
130216B,03h55m30s +02° 02',2,Swift,NA,NA
130216A,04h31m36s +14° 40',3,Swift,NA,NA
130215A,02h53m55s +13° 22',3,Swift,0.597,6.8327960764
130211A,09h50m05s -42° 20',3,Swift,NA,NA
130206A,09h21m30s -58° 10',3,Swift,NA,NA
130131B,11h35m48s +15° 02',3,Swift,2.539,16.5625281218
130131A,11h24m26s +48° 04',3,Swift,NA,NA
130122A,12h56m52s +59° 01',3,Swift,NA,NA
130102B,20h43m37s -72° 05',60,MAXI,NA,NA
130102A,20h45m51s +49° 50',3,Swift,NA,NA
121229A,12h40m24s -50° 36',3,Swift,2.707,15.9259973802
121226AS,11h14m38s -30° 25',3,Swift,NA,NA
121225B,20h35m39s -34° 21',444*12,Fermi,NA,NA
121225A,17h39m27s -66° 04',17,MAXI,NA,NA
121217A,10h14m54s -62° 18',3,Swift,NA,NA
121212A,11h51m22s +78° 02',3,Swift,2,13.8052252585
121211A,13h02m11s +30° 10',3,Swift,1.023,7.4106134595
121209A,21h47m12s -08° 15',3,Swift,2.1,12.865697417
121202A,17h07m16s +23° 57',3,Swift,NA,NA
121201A,00h53m57s -42° 57',3,Swift,3.385,20.72885562
121128A,20h02m20s +54° 19',3,Swift,2.2,14.8820642901
121127A,11h45m45s -52° 25',29*9,IPN,NA,NA
121125A,15h14m05s +55° 19',3,Swift,NA,NA
121123A,20h29m27s -11° 52',3,Swift,NA,NA
121118B,11h26m49s -03° 04',258*66,IPN,NA,NA
121118A,19h57m31s +65° 39',300*66,IPN,NA,NA
121117A,02h06m32s +07° 23',3,Swift,NA,NA
121108A,05h32m45s +54° 29',3,Swift,NA,NA
121102A,18h03m37s -16° 58',3,Swift,NA,NA
121031A,11h23m05s -03° 31',3,Swift,NA,NA
121028A,18h07m42s -02° 17',3,Swift,NA,NA
121027A,04h14m26s -58° 48',3,Swift,1.773,12.4270680986
121025A,16h35m00s +27° 44',18,MAXI,NA,NA
121024A,04h41m52s -12° 16',3,Swift,2.298,14.5095154803
121017A,19h15m16s -01° 36',3,Swift,NA,NA
121014A,11h06m31s -29° 07',3,Swift,NA,NA
121011A,17h20m48s +41° 08',3,Swift,NA,NA
121001A,18h24m08s -05° 40',3,Swift,NA,NA
120927A,09h06m24s +00° 25',3,Swift,NA,NA
120923A,20h15m11s +06° 14',3,Swift,NA,NA
120922A,15h39m01s -20° 11',3,Swift,3.1,19.1800038518
120919B,20h10m32s -37° 29',94*5,IPN,NA,NA
120919A,14h19m04s -45° 34',31*8,Fermi,NA,NA
120918A,12h04m13s -32° 45',3,Swift,NA,NA
120916A,13h42m31s +36° 42',205*5,Fermi,NA,NA
120913B,14h14m35s -14° 32',3,Swift,NA,NA
120913A,09h45m45s +26° 59',3,Swift,NA,NA
120911B,11h28m35s -37° 42',129*11,IPN,NA,NA
120911A,23h51m51s +63° 06',3,Swift,NA,NA
120909A,18h22m44s -59° 26',3,Swift,3.93,23.5520988974
120908A,15h23m06s -25° 30',60,MAXI,NA,NA
120907A,04h58m58s -09° 18',3,Swift,0.97,7.7414811263
120830A,05h54m36s -28° 59',47*5,Fermi,NA,NA
120821A,17h01m05s -40° 31',2,INTEGRAL,NA,NA
120819A,15h43m33s -07° 08',3,Swift,NA,NA
120817BS,00h33m17s -26° 31',38*14,IPN,NA,NA
120817A,16h42m49s -38° 20',3,Swift,NA,NA
120816BS,22h29m48s -01° 37',455*80,IPN,NA,NA
120816A,18h48m30s -06° 59',3,Swift,NA,NA
120815A,18h15m40s -52° 08',3,Swift,2.358,14.9325758428
120811C,13h18m50s +62° 17',3,Swift,2.671,15.3766377069
120811BS,02h54m53s -30° 14',84*9,IPN,NA,NA
120811A,17h08m44s -22° 44',3,Swift,NA,NA
120807A,16h04m51s -47° 29',3,Swift,NA,NA
120805A,14h26m08s +05° 48',3,Swift,3.1,18.3066418233
120804AS,15h35m43s -28° 46',3,Swift,NA,NA
120803B,20h56m54s +53° 17',3,Swift,NA,NA
120803A,17h58m16s -06° 43',3,Swift,NA,NA
120802A,02h59m24s +13° 45',3,Swift,3.796,22.2133388555
120729A,00h52m13s +49° 56',3,Swift,0.8,7.3486841244
120728A,09h08m24s -54° 26',3,Swift,NA,NA
120724A,16h20m46s +03° 31',3,Swift,1.48,11.1560079473
120722A,15h21m58s +13° 15',3,Swift,0.9586,8.7306546803
120716A,20h52m21s +09° 33',121*30,IPN,2.486,15.6348170034
120714B,23h41m44s -46° 11',3,Swift,0.3984,4.7053376523
120714A,11h11m53s -30° 38',3,Swift,NA,NA
120712A,11h18m25s -20° 04',3,Swift,4.1745,23.6349085617
120711B,22h06m40s +60° 01',3,Swift,NA,NA
120711A,06h18m49s -71° 01',3,Swift,1.405,9.5912951757
120709A,21h13m38s -50° 02',21,Fermi,NA,NA
120703A,22h37m26s -29° 44',3,Swift,NA,NA
120701A,05h21m21s -58° 32',3,Swift,NA,NA
120630AS,23h29m11s +42° 33',3,Swift,NA,NA
120624B,11h23m46s +08° 56',3,Fermi,2.1974,14.1848526749
120622A,13h41m43s -01° 43',20,MAXI,NA,NA
120612A,08h26m54s -17° 35',3,Swift,NA,NA
120522A,11h03m59s -62° 06',19*7,IPN,NA,NA
120521C,14h17m09s +42° 07',3,Swift,6,32.8070315492
120521B,13h08m03s -52° 45',3,Swift,NA,NA
120521AS,09h54m46s -49° 25',3,Swift,NA,NA
120514A,18h51m58s -04° 15',3,Swift,NA,NA
120510A,02h57m09s +72° 51',3,MAXI,NA,NA
120426A,07h26m09s -65° 38',108*12,IPN,NA,NA
120424A,01h35m56s -29° 53',22,MAXI,NA,NA
120422A,09h07m43s +14° 00',3,Swift,0.283,3.5508934994
120419A,12h29m29s -63° 02',3,INTEGRAL,NA,NA
120404A,15h40m03s +12° 53',3,Swift,2.876,16.6707462969
120403B,03h39m14s -89° 02',3,Swift,NA,NA
120403AS,02h49m50s +40° 28',3,Swift,NA,NA
120401A,03h52m16s -17° 40',3,Swift,NA,NA
120328A,16h06m12s -39° 20',3,Swift,NA,NA
120327A,16h27m19s -29° 25',3,Swift,2.813,16.7316286483
120326A,18h15m42s +69° 17',3,Swift,1.798,11.8898612025
120325A,11h55m17s +73° 11',3,Swift,NA,NA
120324A,19h24m20s +24° 09',3,Swift,NA,NA
120323A,22h41m38s +29° 43',45*6,Fermi,NA,NA
120320A,14h10m09s +08° 41',3,Swift,NA,NA
120312A,16h47m03s +23° 51',3,Swift,NA,NA
120311B,17h14m00s -13° 04',3,Swift,NA,NA
120311A,18h12m21s +14° 17',3,Swift,3,17.910452837
120308A,14h36m19s +79° 42',3,Swift,4.5,26.2044730269
120305AS,03h10m11s +28° 30',3,Swift,NA,NA
120302A,08h09m48s +29° 40',3,Swift,NA,NA
120229AS,01h20m08s -35° 48',3,Swift,NA,NA
120226A,20h11m43s +48° 40',366*12,IPN,NA,NA
120224A,02h43m54s -17° 48',3,Swift,1.1,8.7158641189
120219A,08h39m10s +51° 01',3,Swift,NA,NA
120218A,21h19m02s -25° 27',3,Swift,NA,NA
120215A,02h00m08s +08° 47',3,Swift,NA,NA
120213A,20h04m08s +65° 24',3,Swift,NA,NA
120212A,02h52m25s -18° 01',3,Swift,NA,NA
120211A,05h51m00s -24° 46',3,Swift,2.4,15.047561411
120202A,13h34m04s +22° 48',3,INTEGRAL,NA,NA
120127A,09h16m34s +15° 53',120*45,MAXI,NA,NA
120121A,16h37m21s -23° 59',3,Swift,NA,NA
120119A,08h00m07s -09° 04',3,Swift,1.728,11.3198122277
120118B,08h19m28s -07° 11',3,Swift,2.943,17.508954518
120118A,13h01m28s -61° 36',3,INTEGRAL,NA,NA
120116A,01h05m00s +33° 56',3,Swift,NA,NA
120114A,21h11m37s +57° 02',3,Swift,NA,NA
120107A,16h25m36s -69° 56',30,Fermi,NA,NA
120106A,04h24m31s +64° 02',3,Swift,NA,NA
120102A,18h24m48s +24° 44',3,Swift,NA,NA
111229A,05h05m08s -84° 43',3,Swift,1.3805,9.5267050932
111228A,10h00m19s +18° 18',3,Swift,0.714,6.6806223126
111225A,00h52m24s +51° 35',3,Swift,0.297,5.0218781057
111222AS,12h39m05s +65° 50',120,Fermi,NA,NA
111215B,14h49m37s +16° 26',31*9,IPN,NA,NA
111215A,23h18m12s +32° 29',3,Swift,2.06,13.5374922529
111212A,20h41m37s -68° 37',3,Swift,NA,NA
111211A,10h12m22s +11° 11',3,AGILE,0.478,5.305514916
111210A,12h45m57s -07° 10',3,Swift,NA,NA
111209A,00h57m26s -46° 47',3,Swift,0.677,6.6302071828
111208A,19h20m52s +40° 40',3,Swift,NA,NA
111207A,06h11m42s -39° 30',3,Swift,NA,NA
111205A,08h57m57s -31° 58',39*13,IPN,NA,NA
111204A,22h26m34s -31° 24',3,Swift,NA,NA
111201A,12h41m56s +33° 00',3,Swift,NA,NA
111129A,20h29m46s -52° 43',3,Swift,1.0796,9.0998635718
111126A,18h24m24s +51° 28',3,Swift,NA,NA
111123A,10h19m24s -20° 38',3,Swift,3.1516,19.3095501983
111121A,10h19m00s -46° 38',3,Swift,NA,NA
111117AS,00h50m49s +23° 01',3,Swift,NA,NA
111109A,07h52m47s -41° 36',3,Swift,NA,NA
111107A,08h37m56s -66° 30',3,Swift,2.893,17.4765631966
111103B,17h42m49s +01° 35',3,Swift,NA,NA
111103A,21h28m29s -10° 33',3,Swift,NA,NA
111029A,02h58m46s +57° 05',3,Swift,NA,NA
111026A,16h17m06s -47° 30',3,Swift,NA,NA
111024A,14h48m42s +25° 51',6*18,MAXI,NA,NA
111022B,07h15m48s +49° 40',3,Swift,NA,NA
111022A,18h23m29s -23° 40',3,Swift,NA,NA
111020A,19h08m06s -37° 59',3,Swift,NA,NA
111018A,18h06m00s -03° 52',3,Swift,NA,NA
111016B,19h22m00s -04° 35',11*64,IPN,NA,NA
111016A,10h15m13s +27° 29',3,Swift,NA,NA
111008A,04h01m49s -32° 41',3,Swift,4.9898,27.4570904329
111005A,14h53m08s -19° 44',3,Swift,0.013,3.6233575909
110928A,17h11m01s +36° 34',3,Swift,NA,NA
110921A,19h36m19s +36° 23',3,Swift,NA,NA
110918A,02h10m18s -27° 17',3*20,IPN,0.982,7.7812363732
110915B,05h10m12s +01° 56',4,AGILE,NA,NA
110915A,20h43m24s -00° 43',3,Swift,NA,NA
110903A,13h08m09s +59° 00',3,INTEGRAL,NA,NA
110827A,10h56m23s +53° 47',3,Swift,NA,NA
110825A,02h59m35s +15° 24',120*1,Fermi,NA,NA
110820B,10h30m20s -54° 36',120*2,IPN,NA,NA
110820A,22h53m20s +70° 18',3,Swift,NA,NA
110818A,21h09m32s -63° 58',3,Swift,3.36,19.8668931624
110815A,05h41m11s +32° 27',6*32,IPN,NA,NA
110808A,03h49m03s -44° 11',3,Swift,1.348,9.7046031625
110802AS,02h57m49s +32° 36',50*1,IPN,NA,NA
110801A,05h59m22s +80° 59',3,Swift,1.858,12.0545133506
110731A,18h42m05s -28° 33',3,Swift,2.83,17.1664744102
110726A,19h07m00s +56° 03',3,Swift,NA,NA
110721A,22h13m36s -39° 00',45,Fermi,NA,NA
110719A,01h38m15s +34° 34',3,Swift,NA,NA
110715A,15h50m38s -46° 14',3,Swift,0.82,6.9261829732
110709B,10h58m27s -23° 29',3,Swift,2.09,14.3318609473
110709A,15h55m35s +40° 54',3,Swift,NA,NA
110708A,22h40m20s +53° 57',3,INTEGRAL,NA,NA
110625A,19h07m00s +06° 45',3,Swift,NA,NA
110610A,20h32m36s +74° 49',3,Swift,NA,NA
110604A,18h04m01s +18° 28',5,IPN,NA,NA
110530A,18h48m11s +61° 65',3,Swift,NA,NA
110521A,08h00m35s +45° 48',3,Swift,NA,NA
110520A,08h57m30s +56° 24',3,Swift,NA,NA
110519A,17h26m31s -23° 24',3,Swift,NA,NA
110518A,04h28m43s -34° 12',90*6,IPN,NA,NA
110503A,08h51m12s +52° 13',3,Swift,1.613,10.4590512195
110428A,00h21m12s +64° 48',9,Fermi,NA,NA
110422A,07h27m59s +75° 06',3,Swift,1.77,12.7063347072
110420BS,21h20m12s -41° 16',3,Swift,NA,NA
110420A,00h08m40s -37° 51',3,Swift,NA,NA
110414A,06h31m30s +24° 22',3,Swift,NA,NA
110412A,08h53m58s +13° 31',3,Swift,NA,NA
110411A,19h25m45s +67° 44',3,Swift,NA,NA
110407A,12h23m59s +15° 43',3,Swift,NA,NA
110406A,01h09m22s +35° 49',24*25,INTEGRAL,NA,NA
110402A,13h09m41s +61° 14',3,Swift,NA,NA
110328B,07h50m24s +43° 12',102,Fermi,NA,NA
110319B,21h44m18s -56° 46',3,Swift,NA,NA
110319A,23h45m36s -66° 01',3,Swift,NA,NA
110318B,14h06m47s -51° 34',3,Swift,NA,NA
110318A,22h33m06s -15° 17',3,Swift,NA,NA
110315A,18h36m46s +17° 32',3,Swift,NA,NA
110312A,10h29m55s -05° 15',3,Swift,NA,NA
110305A,17h23m31s -15° 47',3,Swift,NA,NA
110223B,10h01m06s -68° 20',3,Swift,NA,NA
110223A,23h02m24s +87° 34',3,Swift,NA,NA
110213B,02h46m27s +01° 11',10,MAXI,1.083,8.3705821538
110213A,02h52m01s +49° 17',3,Swift,1.46,9.6393053413
110212A,04h36m13s +43° 42',3,Swift,NA,NA
110210A,00h52m19s +07° 47',3,Swift,NA,NA
110208A,01h29m56s -20° 38',3,Swift,NA,NA
110207A,00h50m10s -10° 48',3,Swift,NA,NA
110206A,06h09m29s -58° 47',3.3,INTEGRAL,NA,NA
110205A,10h58m21s +67° 31',3,Swift,2.22,14.7765685383
110201A,09h08m16s +88° 36',3,Swift,NA,NA
110128A,12h55m30s +28° 05',3,Swift,2.339,15.2026708683
110119A,23h14m14s +05° 59',3,Swift,NA,NA
110112B,00h42m24s +64° 24',3,INTEGRAL,NA,NA
110112AS,21h59m46s +26° 29',3,Swift,NA,NA
110107A,19h59m34s +41° 53',3,Swift,NA,NA
110106B,08h56m47s +47° 00',3,Swift,0.618,5.4547334571
110106A,05h17m08s +64° 11',3,Swift,NA,NA
110102A,16h23m31s +07° 37',3,Swift,NA,NA
101225A,00h00m56s +44° 36',3,Swift,0.847,6.3910620374
101224AS,19h03m42s +45° 43',3,Swift,0.718,5.6694369127
101219B,00h49m02s -34° 32',3,Swift,0.55,5.1050022445
101219AS,04h58m28s -02° 32',3,Swift,0.718,7.4129911033
101213A,16h05m09s +21° 55',3,Swift,0.414,4.9176456554
101204A,11h10m12s -20° 26',3,Swift,NA,NA
101201A,00h07m49s -16° 12',3,Fermi,NA,NA
101129AS,10h23m41s -17° 39',3,Fermi,NA,NA
101117B,11h31m38s -72° 40',3,Swift,NA,NA
101114A,20h12m46s +14° 02',1.8,Swift,NA,NA
101112A,19h28m54s +39° 21',2.6,INTEGRAL,NA,NA
101030A,11h05m34s -16° 23',3,Swift,NA,NA
101024A,04h25m54s -77° 15',3,Swift,NA,NA
101023A,21h11m49s -65° 24',3,Swift,NA,NA
101020A,12h38m16s +23° 10',3,Swift,NA,NA
101017A,19h25m31s -35° 08',3,Swift,NA,NA
101011A,03h13m12s -65° 59',3,Swift,NA,NA
101008A,21h55m34s +37° 04',3,Swift,NA,NA
100928A,14h52m09s -28° 34',3,Swift,NA,NA
100924A,00h02m41s +07° 01',3,Swift,NA,NA
100917A,19h17m04s -17° 06',3,Swift,NA,NA
100915B,05h41m31s +25° 05',3,INTEGRAL,NA,NA
100915A,21h02m36s +65° 40',3,Swift,NA,NA
100909A,04h55m48s +54° 39',2,INTEGRAL,NA,NA
100906A,01h54m50s +55° 37',3,Swift,1.727,12.0634756095
100905A,02h06m07s +14° 56',3,Swift,NA,NA
100904A,11h31m41s -16° 13',3,Swift,NA,NA
100902A,03h14m35s +30° 58',3,Swift,NA,NA
100901A,01h48m59s +22° 45',3,Swift,1.408,9.1168731334
100823A,01h22m49s +05° 51',3,Swift,NA,NA
100816AS,23h26m58s +26° 34',3,Swift,0.8049,6.2826827705
100814A,01h29m55s -17° 59',3,Swift,1.44,9.5847456761
100807A,03h41m18s +67° 41',3,Swift,NA,NA
100805A,19h59m30s +52° 37',3,Swift,NA,NA
100802A,00h09m50s +47° 45',3,Swift,4,23.8014809207
100728B,02h56m13s +00° 17',3,Swift,2.106,12.9001663403
100728A,05h08m16s -14° 20',3,Swift,1.567,11.1063093104
100727A,10h16m40s -21° 22',3,Swift,NA,NA
100725B,19h20m06s +76° 57',3,Swift,NA,NA
100725A,11h06m04s -26° 41',3,Swift,NA,NA
100724B,08h00m10s +76° 44',66,Fermi,NA,NA
100724A,12h58m16s -11° 07',3,Swift,1.288,10.3088048005
100719A,07h29m03s -05° 50',3,Swift,NA,NA
100713A,17h00m50s +28° 23',3,INTEGRAL,NA,NA
100707A,23h52m05s -08° 39',3,IPN,NA,NA
100704A,08h54m33s -24° 13',3,Swift,NA,NA
100703AS,00h38m05s -25° 43',2.8,INTEGRAL,NA,NA
100702AS,16h22m49s -56° 32',3,Swift,NA,NA
100628AS,15h03m52s -31° 40',3,Swift,NA,NA
100625AS,01h03m05s -39° 05',3,Swift,0.452,5.9170837337
100621A,21h01m14s -51° 05',3,Swift,0.542,6.6957766003
100619A,05h38m28s -27° 00',3,Swift,NA,NA
100615A,11h48m50s -19° 30',3,Swift,1.398,9.9500259557
100614A,17h34m05s +49° 14',3,Swift,NA,NA
100606A,23h22m25s -66° 14',3,Swift,NA,NA
100528A,20h44m29s +27° 49',5,AGILE,NA,NA
100526B,00h02m48s -37° 54',3,Swift,NA,NA
100526A,15h23m08s +25° 38',3,Swift,NA,NA
100522A,20h27m56s +09° 25',3,Swift,NA,NA
100518A,20h19m13s -24° 32',3,INTEGRAL,4,23.5592376498
100514A,21h55m17s +29° 10',3,Swift,NA,NA
100513A,11h18m19s +03° 36',3,Swift,4.772,27.353741986
100510A,23h43m46s -35° 35',30*100',MAXI,NA,NA
100508A,05h05m00s -20° 43',3,Swift,0.5201,5.8588073026
100504A,17h02m17s -35° 36',3,Swift,NA,NA
100427A,05h56m41s -03° 28',3,Swift,NA,NA
100425A,19h56m45s -26° 26',3,Swift,1.755,11.0381033109
100424A,13h57m49s +01° 31',3,Swift,2.465,14.8593663241
100423A,09h05m54s +21° 29',3,Swift,NA,NA
100420A,19h44m31s +55° 48',3,Swift,NA,NA
100418A,17h05m30s +11° 28',3,Swift,0.6235,5.3251245271
100415A,00h29m48s -16° 24',90*105,MAXI,NA,NA
100414A,12h14m28s +20° 27',11,Fermi,1.368,9.4955603502
100413B,23h47m16s +51° 19',3,Swift,NA,NA
100413A,17h44m52s +15° 50',3,Swift,NA,NA
100401A,19h23m15s -08° 15',2,Swift,NA,NA
100331B,20h11m57s -11° 04',6,AGILE,NA,NA
100331A,17h24m14s -58° 57',3,INTEGRAL,NA,NA
100325A,22h00m58s -26° 28',54,Fermi,NA,NA
100324A,06h34m27s -09° 44',3,Swift,NA,NA
100322BS,05h05m57s +42° 41',3,Swift,NA,NA
100316D,07h10m28s -56° 09',3,Swift,0.059,4.0363312414
100316C,02h09m10s -68° 01',3,Swift,NA,NA
100316B,10h54m00s -45° 29',3,Swift,1.18,9.4094116793
100316A,16h48m08s +71° 50',3,Swift,NA,NA
100305A,11h13m28s +42° 23',3,Swift,NA,NA
100302A,13h01m23s +74° 35',3,Swift,4.813,27.34137713
100225A,20h41m12s -59° 24',72,Fermi,NA,NA
100224A,05h33m52s -08° 00',3,Swift,NA,NA
100219A,10h16m53s -12° 34',3,Swift,4.6667,26.5363324169
100216AS,10h17m03s +35° 31',3,Fermi,NA,NA
100213B,08h17m21s +43° 27',3,Swift,NA,NA
100213AS,23h17m43s +43° 23',3,Swift,NA,NA
100212A,23h45m51s +49° 30',3,Swift,NA,NA
100206AS,03h08m42s +13° 10',3,Swift,0.4068,5.7174297444
100205A,09h25m37s +31° 44',3,Swift,NA,NA
100203A,06h24m54s +04° 48',3,Swift,NA,NA
100119A,19h57m18s -53° 10',3,Swift,NA,NA
100117AS,00h45m02s -01° 36',3,Swift,0.92,8.3771585087
100116A,20h20m05s +14° 27',21,Fermi,NA,NA
100115A,00h13m20s -00° 49',4,Swift,NA,NA
100111A,16h28m09s +15° 33',3,Swift,NA,NA
100103A,07h29m27s -34° 27',3,INTEGRAL,NA,NA
91230,08h51m51s -53° 53',3,INTEGRAL,NA,NA
91221,03h43m01s +23° 13',3,Swift,NA,NA
091208B,01h57m39s +16° 53',3,Swift,1.063,9.0038242066
91208,00h01m06s +65° 40',3,Swift,NA,NA
91202,09h15m11s +62° 33',3,INTEGRAL,NA,NA
091130B,13h32m24s +34° 05',3,Swift,NA,NA
91127,02h26m17s -18° 57',3,Swift,0.49,4.7520284842
91120,15h07m14s -21° 47',60,Fermi,NA,NA
091117S,02h03m47s -16° 57',3,Swift,NA,NA
91112,17h11m00s -36° 44',3,Swift,NA,NA
91111,09h11m15s -45° 55',3,INTEGRAL,NA,NA
091109BS,07h31m00s -54° 06',3,Swift,NA,NA
91109,20h37m00s -44° 11',3,Swift,3.076,18.1083600138
91104,13h54m53s +47° 23',3,Swift,NA,NA
91102,04h50m29s -72° 32',3,Swift,NA,NA
91031,04h42m48s -61° 35',60,Fermi,NA,NA
91029,04h00m44s -56° 00',3,Swift,2.752,17.3809087437
91026,18h26m20s -86° 07',3,Swift,NA,NA
91024,22h36m50s +56° 52',3,Swift,1.092,8.3252726993
91020,11h42m52s +50° 58',3,Swift,1.71,11.0233558008
91018,02h08m51s -57° 32',3,Swift,0.971,7.6247137278
91015,20h24m31s -06° 10',3,INTEGRAL,NA,NA
91010,19h54m40s -22° 32',3,AGILE,NA,NA
91003,16h46m05s +36° 38',13,Fermi,0.8969,7.969887145
090929B,07h50m49s -00° 38',3,Swift,NA,NA
90929,03h45m58s -05° 58',3,Fermi,NA,NA
90927,22h55m49s -70° 59',3,Swift,1.37,10.7134524024
090926B,03h05m16s -39° 01',3,Swift,1.24,9.7107807764
90926,23h33m36s -66° 19',3,Fermi,2.1062,12.8825237838
90916,08h26m19s +25° 56',3,Swift,NA,NA
90915,15h51m58s +15° 29',3,Swift,NA,NA
90912,12h32m22s +61° 31',3,Swift,NA,NA
090904B,17h36m46s -25° 13',3,Swift,NA,NA
90904,06h43m32s +50° 12',3,Swift,NA,NA
090902B,17h40m00s +27° 20',6,Fermi,1.822,12.5891054919
090831C,07h13m07s -25° 06',3,Swift,NA,NA
90831,09h41m36s +51° 24',60,Fermi,NA,NA
90827,01h13m44s -50° 54',3,Swift,NA,NA
90823,08h34m51s +60° 40',4,IPN,NA,NA
90817,04h15m58s +44° 08',3,INTEGRAL,NA,NA
090815C,04h17m58s -65° 57',3,Swift,NA,NA
090814B,04h18m59s +60° 36',3.2,INTEGRAL,NA,NA
90814,15h58m27s +25° 36',3,Swift,0.696,5.959942635
90813,15h08m04s +88° 34',3,Swift,NA,NA
