Helység megnevezése,KSH kódja,jogállása,Megye megnevezése,Járás kódja,Járás neve,Járás székhelye,Közös önkormányzati hivatal kódja,Közös önkormányzati hivatal székhelye,Terület  (hektár),Lakó-népesség,Lakások száma
Felsőregmec,7588,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,5,Kishuta,1075,322,88
Felsőszenterzsébet,30890,község,Zala,1940.0,Lenti,Lenti,6,Csesztreg,824,16,16
Felsőszentiván,2954,község,Bács-Kiskun,350.0,Bajai,Baja,2,Helyben – Locally,5354,1785,842
Felsőszentmárton,8819,község,Baranya,300.0,Sellyei,Sellye,2,Helyben – Locally,1946,898,507
Felsőszölnök,23287,község,Vas,1800.0,Szentgotthárdi,Szentgotthárd,6,Alsószölnök,2356,579,291
Felsőtárkány,16328,község,Heves,1040.0,Egri,Eger,2,Helyben – Locally,7732,3544,1312
Felsőtelekes,31671,község,Borsod-Abaúj-Zemplén,580.0,Kazincbarcikai,Kazincbarcika,5,Ormosbánya,845,685,286
Felsőtold,33312,község,Nógrád,1180.0,Pásztói,Pásztó,6,Mátraszőlős,1083,126,104
Felsővadász,23533,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,5,Homrogd,1864,534,177
Felsőzsolca,2848,város,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,1,–,1625,6486,2178
Fényeslitke,22415,község,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,1,–,2515,2414,866
Fenyőfő,30678,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,6,Bakonyszentlászló,2965,107,85
Ferencszállás,18999,község,Csongrád,750.0,Szegedi,Szeged,5,Kübekháza,579,598,269
Fertőboz,11253,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,6,Nagycenk,1367,311,116
Fertőd,9885,város,Győr-Moson-Sopron,910.0,Soproni,Sopron,1,–,4855,3396,1433
Fertőendréd,9487,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,6,Petőháza,1509,642,252
Fertőhomok,10658,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,5,Hegykő,1261,742,256
Fertőrákos,12414,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,1,–,2189,2283,918
Fertőszentmiklós,15343,város,Győr-Moson-Sopron,910.0,Soproni,Sopron,1,–,3939,3864,1484
Fertőszéplak,31440,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,2,Helyben – Locally,2178,1322,482
Fiad,31644,község,Somogy,1470.0,Tabi,Tab,6,Andocs,1491,127,79
Filkeháza,25238,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,5,Kishuta,441,103,42
Fityeház,19187,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,5,Murakeresztúr,650,630,253
Foktő,2149,község,Bács-Kiskun,370.0,Kalocsai,Kalocsa,6,Fajsz,3146,1568,737
Folyás,34014,község,Hajdú-Bihar,990.0,Hajdúnánási,Hajdúnánás,6,Hajdúnánás,5394,289,147
Fonó,22026,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Baté,1061,242,148
Fony,17932,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Telkibánya,4056,317,226
Fonyód,14632,város,Somogy,1421.0,Fonyódi,Fonyód,1,–,5355,4745,2591
Forráskút,33020,község,Csongrád,740.0,Mórahalmi,Mórahalom,1,–,3667,2252,1012
Forró,30483,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,2,Helyben – Locally,1903,2500,811
Fót,32610,város,Pest,1260.0,Dunakeszi,Dunakeszi,2,Helyben – Locally,3740,19216,7220
Földeák,9210,község,Csongrád,730.0,Makói,Makó,2,Helyben – Locally,3637,2973,1458
Földes,3258,nagyközség,Hajdú-Bihar,1020.0,Püspökladányi,Püspökladány,1,–,6524,3953,1723
Főnyed,22707,község,Somogy,1440.0,Marcali,Marcali,6,Balatonszentgyörgy,573,75,53
Fulókércs,22123,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,5,Méra,1860,379,113
Furta,16993,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,2,Helyben – Locally,4285,1157,584
Füle,6114,község,Fejér,850.0,Székesfehérvári,Székesfehérvár,2,Helyben – Locally,3032,843,403
Fülesd,10791,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,5,Kölcse,1505,478,172
Fülöp,22150,község,Hajdú-Bihar,1010.0,Nyíradonyi,Nyíradony,6,Nyírábrány,5595,1766,719
Fülöpháza,31468,község,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,5,Kerekegyháza,4706,858,445
Fülöpjakab,33622,község,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,6,Kunszállás,2316,1123,512
Fülöpszállás,14058,község,Bács-Kiskun,390.0,Kiskőrösi,Kiskőrös,1,–,9132,2141,1167
Fülpösdaróc,14377,község,Szabolcs-Szatmár-Bereg,1540.0,Mátészalkai,Mátészalka,6,Győrtelek,425,315,115
Fürged,17950,község,Tolna,1740.0,Tamási,Tamási,6,Ozora,2676,695,249
Füzér,17109,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,6,Mikóháza,3749,410,219
Füzérkajata,6460,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,6,Kishuta,1144,106,78
Füzérkomlós,11378,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,6,Pálháza,587,298,134
Füzérradvány,10366,község,Borsod-Abaúj-Zemplén,650.0,Sátoraljaújhelyi,Sátoraljaújhely,5,Kishuta,981,293,207
Füzesabony,3276,város,Heves,1051.0,Füzesabonyi,Füzesabony,2,Helyben – Locally,4634,7527,3129
Füzesgyarmat,12256,város,Békés,530.0,Szeghalmi,Szeghalom,1,–,12734,5752,2406
Fűzvölgy,16531,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,5,Hahót,314,132,58
Gáborján,18175,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,6,Váncsod,2646,848,375
Gáborjánháza,17516,község,Zala,1940.0,Lenti,Lenti,6,Rédics,507,70,62
Gacsály,13727,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,5,Rozsály,1982,963,298
Gadács,28264,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Igal,386,87,60
Gadány,26222,község,Somogy,1440.0,Marcali,Marcali,6,Mesztegnyő,1970,315,144
Gadna,5494,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Homrogd,809,271,72
Gádoros,9511,nagyközség,Békés,500.0,Orosházi,Orosháza,1,–,3813,3485,1775
Gagyapáti,28732,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,6,Krasznokvajda,323,11,14
Gagybátor,28307,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Selyeb,1877,194,95
Gagyvendégi,3744,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,6,Selyeb,1232,207,101
Galambok,12991,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,2,Helyben – Locally,2591,1230,554
Galgaguta,25663,község,Nógrád,1160.0,Balassagyarmati,Balassagyarmat,6,Bercel,1589,614,285
Galgagyörk,13295,község,Pest,1380.0,Váci,Vác,6,Püspökhatvan,1472,1029,350
Galgahévíz,19503,község,Pest,1220.0,Aszódi,Aszód,1,–,3118,2488,993
Galgamácsa,27128,község,Pest,1220.0,Aszódi,Aszód,2,Helyben – Locally,4331,1734,740
Gálosfa,6585,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Baté,1976,218,114
Galvács,19293,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,6,Szendrő,1504,90,75
Gamás,6451,község,Somogy,1420.0,Fonyódi,Fonyód,5,Látrány,4292,740,372
Ganna,12742,község,Veszprém,1870.0,Pápai,Pápa,5,Pápakovácsi,1547,224,122
Gánt,15750,község,Fejér,770.0,Bicskei,Bicske,5,Csákvár,5815,857,270
Gara,31848,község,Bács-Kiskun,350.0,Bajai,Baja,2,Helyben – Locally,5996,2307,920
Garáb,18494,község,Nógrád,1180.0,Pásztói,Pásztó,6,Mátraszőlős,820,50,59
Garabonc,12946,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Gelse,1856,672,267
Garadna,10904,község,Borsod-Abaúj-Zemplén,560.0,Encsi,Encs,6,Novajidrány,974,374,184
Garbolc,4996,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,5,Méhtelek,725,139,66
Gárdony,10296,város,Fejér,801.0,Gárdonyi,Gárdony,1,–,6350,12600,4532
Garé,7560,község,Baranya,310.0,Siklósi,Siklós,6,Diósviszló,853,284,111
Gasztony,30906,község,Vas,1800.0,Szentgotthárdi,Szentgotthárd,6,Rátót,1427,414,211
Gátér,26383,község,Bács-Kiskun,400.0,Kiskunfélegyházi,Kiskunfélegyháza,6,Petőfiszállás,3089,901,466
Gávavencsellő,5801,nagyközség,Szabolcs-Szatmár-Bereg,1510.0,Ibrányi,Ibrány,1,–,6683,3413,1558
Géberjén,3629,község,Szabolcs-Szatmár-Bereg,1540.0,Mátészalkai,Mátészalka,6,Ököritófülpös,538,496,203
Gecse,9292,község,Veszprém,1870.0,Pápai,Pápa,6,Vaszar,934,396,188
Géderlak,3577,község,Bács-Kiskun,370.0,Kalocsai,Kalocsa,2,Helyben – Locally,1874,981,469
Gégény,5670,község,Szabolcs-Szatmár-Bereg,1520.0,Kemecsei,Kemecse,1,–,2344,1934,723
Gelej,23719,község,Borsod-Abaúj-Zemplén,590.0,Mezőcsáti,Mezőcsát,6,Tiszatarján,3212,582,270
Gelénes,4613,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,6,Csaroda,2055,591,238
Gellénháza,8068,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,2,Helyben – Locally,524,1528,643
Gelse,12089,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,2,Helyben – Locally,2246,1076,451
Gelsesziget,9089,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,6,Gelse,498,247,106
Gemzse,13000,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,6,Ilk,1360,936,283
Gencsapáti,24183,község,Vas,1810.0,Szombathelyi,Szombathely,1,–,2239,2713,940
Gérce,26152,község,Vas,1790.0,Sárvári,Sárvár,2,Helyben – Locally,1830,1130,501
Gerde,12751,község,Baranya,320.0,Szentlőrinci,Szentlőrinc,6,Királyegyháza,1276,509,194
Gerendás,7393,község,Békés,460.0,Békéscsabai,Békéscsaba,6,Kétsoprony,4078,1272,682
Gerényes,13347,község,Baranya,250.0,Hegyháti,Sásd,6,Vásárosdombó,1234,242,98
Geresdlak,2857,község,Baranya,290.0,Pécsváradi,Pécsvárad,5,Erzsébet,2528,752,402
Gerjen,5731,község,Tolna,1720.0,Paksi,Paks,6,Dunaszentgyörgy,3628,1198,517
Gersekarát,30942,község,Vas,1820.0,Vasvári,Vasvár,6,Rábahídvég,1992,642,335
Geszt,17394,község,Békés,510.0,Sarkadi,Sarkad,2,Helyben – Locally,5139,786,338
Gesztely,15608,község,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,2,Helyben – Locally,2882,2723,949
Geszteréd,28893,község,Szabolcs-Szatmár-Bereg,1550.0,Nagykállói,Nagykálló,2,Helyben – Locally,3351,1744,745
Gétye,20039,község,Zala,1930.0,Keszthelyi,Keszthely,6,Zalaapáti,666,106,94
Gibárt,20969,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Abaújszántó,533,321,156
Gic,16717,község,Veszprém,1870.0,Pápai,Pápa,6,Pápateszér,1968,363,145
Gige,9177,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Csököly,1319,371,132
Gilvánfa,18333,község,Baranya,300.0,Sellyei,Sellye,5,Csányoszró,1543,401,113
Girincs,21564,község,Borsod-Abaúj-Zemplén,680.0,Tiszaújvárosi,Tiszaújváros,5,Kesznyéten,1120,863,288
Gógánfa,18193,község,Veszprém,1880.0,Sümegi,Sümeg,2,Helyben – Locally,1317,803,315
Golop,13134,község,Borsod-Abaúj-Zemplén,660.0,Szerencsi,Szerencs,5,Tállya,943,542,288
Gomba,9441,község,Pest,1300.0,Monori,Monor,1,–,3971,2952,1069
Gombosszeg,17613,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Gellénháza,216,43,34
Gór,11156,község,Vas,1790.0,Sárvári,Sárvár,6,Bő,1099,297,183
Gordisa,33084,község,Baranya,310.0,Siklósi,Siklós,6,Kovácshida,1088,278,96
Gosztola,13569,község,Zala,1940.0,Lenti,Lenti,6,Rédics,698,60,43
Göd,23649,város,Pest,1260.0,Dunakeszi,Dunakeszi,1,–,2444,18351,7051
Gödöllő,32559,város,Pest,1281.0,Gödöllői,Gödöllő,1,–,6192,32437,12715
Gödre,33233,község,Baranya,250.0,Hegyháti,Sásd,5,Sásd,3993,844,396
Gölle,30571,község,Somogy,1430.0,Kaposvári,Kaposvár,2,Helyben – Locally,4469,904,431
Gömörszőlős,9706,község,Borsod-Abaúj-Zemplén,630.0,Putnoki,Putnok,6,Aggtelek,877,86,46
Gönc,15936,város,Borsod-Abaúj-Zemplén,571.0,Gönci,Gönc,2,Helyben – Locally,3727,2053,902
Göncruszka,18643,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Vilmány,1669,667,312
Gönyű,2060,község,Győr-Moson-Sopron,870.0,Győri,Győr,1,–,2163,3036,1152
Görbeháza,16568,község,Hajdú-Bihar,990.0,Hajdúnánási,Hajdúnánás,1,–,8020,2346,1031
Görcsöny,30438,község,Baranya,280.0,Pécsi,Pécs,2,Helyben – Locally,1852,1510,528
Görcsönydoboka,9636,község,Baranya,270.0,Mohácsi,Mohács,5,Somberek,951,370,180
Görgeteg,14599,község,Somogy,1450.0,Nagyatádi,Nagyatád,5,Lábod,3350,1135,436
Gősfa,29771,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Nagypáli,1045,299,132
Grábóc,26727,község,Tolna,1700.0,Bonyhádi,Bonyhád,6,Bonyhád,1373,169,84
Gulács,29443,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,5,Tarpa,2335,973,366
Gutorfölde,2097,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Söjtör,2485,946,476
Gyál,25627,város,Pest,1291.0,Gyáli,Gyál,1,–,2493,23152,8192
Gyalóka,17969,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,6,Sopronhorpács,393,61,50
Gyanógeregye,27030,község,Vas,1810.0,Szombathelyi,Szombathely,6,Balogunyom,707,157,64
Gyarmat,26860,község,Győr-Moson-Sopron,920.0,Téti,Tét,2,Helyben – Locally,2245,1308,569
Gyékényes,30960,község,Somogy,1410.0,Csurgói,Csurgó,2,Helyben – Locally,3376,1003,465
Gyenesdiás,23302,nagyközség,Zala,1930.0,Keszthelyi,Keszthely,2,Helyben – Locally,1850,3700,1744
Gyepükaján,28671,község,Veszprém,1880.0,Sümegi,Sümeg,6,Sümeg,911,311,158
Gyermely,6521,község,Komárom-Esztergom,1150.0,Tatabányai,Tatabánya,2,Helyben – Locally,4547,1448,539
Gyód,18315,község,Baranya,280.0,Pécsi,Pécs,6,Keszü,325,651,253
Gyomaendrőd,33455,város,Békés,471.0,Gyomaendrődi,Gyomaendrőd,2,Helyben – Locally,30394,13133,6443
Gyóró,23843,község,Győr-Moson-Sopron,880.0,Kapuvári,Kapuvár,5,Mihályi,1164,388,169
Gyömöre,20400,község,Győr-Moson-Sopron,920.0,Téti,Tét,2,Helyben – Locally,2049,1212,514
Gyömrő,29735,város,Pest,1300.0,Monori,Monor,1,–,2651,17236,6144
Gyöngyfa,28404,község,Baranya,320.0,Szentlőrinci,Szentlőrinc,5,Királyegyháza,878,140,52
Gyöngyös,5236,város,Heves,1061.0,Gyöngyösi,Gyöngyös,1,–,5531,29920,14815
Gyöngyösfalu,11943,község,Vas,1780.0,Kőszegi,Kőszeg,6,Lukácsháza,965,1157,405
Gyöngyöshalász,17534,község,Heves,1060.0,Gyöngyösi,Gyöngyös,1,–,2713,2494,1056
Gyöngyösmellék,22664,község,Baranya,330.0,Szigetvári,Szigetvár,6,Kétújfalu,1002,288,99
Gyöngyösoroszi,13338,község,Heves,1060.0,Gyöngyösi,Gyöngyös,6,Gyöngyöstarján,2139,1533,570
Gyöngyöspata,8323,város,Heves,1060.0,Gyöngyösi,Gyöngyös,1,–,6075,2459,1054
Gyöngyössolymos,19123,község,Heves,1060.0,Gyöngyösi,Gyöngyös,2,Helyben – Locally,6485,2786,1265
Gyöngyöstarján,28088,község,Heves,1060.0,Gyöngyösi,Gyöngyös,2,Helyben – Locally,4639,2368,982
Gyönk,30289,város,Tolna,1740.0,Tamási,Tamási,2,Helyben – Locally,3811,1999,682
Győr,25584,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,871.0,Győri,Győr,1,–,17462,129568,58981
Győrasszonyfa,8721,község,Győr-Moson-Sopron,900.0,Pannonhalmi,Pannonhalma,6,Tápszentmiklós,648,510,201
Györe,25539,község,Tolna,1700.0,Bonyhádi,Bonyhád,6,Kakasd,1132,643,251
Györgytarló,5069,község,Borsod-Abaúj-Zemplén,640.0,Sárospataki,Sárospatak,6,Kenézlő,3019,525,211
Györköny,12326,község,Tolna,1720.0,Paksi,Paks,6,Pusztahencse,3160,936,445
Győrladamér,13198,község,Győr-Moson-Sopron,870.0,Győri,Győr,2,Helyben – Locally,861,1709,570
Győröcske,28945,község,Szabolcs-Szatmár-Bereg,1600.0,Záhonyi,Záhony,6,Záhony,211,170,54
Győrság,31316,község,Győr-Moson-Sopron,870.0,Győri,Győr,6,Töltéstava,820,1444,590
Győrsövényház,19309,község,Győr-Moson-Sopron,870.0,Győri,Győr,5,Enese,2421,809,321
Győrszemere,15653,község,Győr-Moson-Sopron,920.0,Téti,Tét,1,–,3311,3298,1174
Győrtelek,10126,község,Szabolcs-Szatmár-Bereg,1540.0,Mátészalkai,Mátészalka,2,Helyben – Locally,1478,1556,476
Győrújbarát,7481,község,Győr-Moson-Sopron,870.0,Győri,Győr,1,–,3361,6609,2297
Győrújfalu,31787,község,Győr-Moson-Sopron,870.0,Győri,Győr,6,Győrladamér,737,1847,685
Győrvár,9724,község,Vas,1820.0,Vasvári,Vasvár,5,Kám,1659,648,287
Győrzámoly,15228,község,Győr-Moson-Sopron,870.0,Győri,Győr,1,–,2638,2775,914
Gyugy,23904,község,Somogy,1420.0,Fonyódi,Fonyód,6,Lengyeltóti,1531,297,139
Gyula,5032,város,Békés,481.0,Gyulai,Gyula,1,–,25580,30318,14345
Gyulaháza,7676,község,Szabolcs-Szatmár-Bereg,1530.0,Kisvárdai,Kisvárda,2,Helyben – Locally,2209,1894,664
Gyulaj,30359,község,Tolna,1710.0,Dombóvári,Dombóvár,5,Kurd,7082,995,343
Gyulakeszi,9520,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Tapolca,967,696,256
Gyúró,15918,község,Fejér,810.0,Martonvásári,Martonvásár,5,Vál,2437,1272,488
Gyügye,19558,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,6,Cégénydányád,433,245,135
Gyüre,33774,község,Szabolcs-Szatmár-Bereg,1590.0,Vásárosnaményi,Vásárosnamény,5,Aranyosapáti,1587,1252,430
Gyűrűs,12539,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Pókaszepetk,419,94,51
Hács,18634,község,Somogy,1420.0,Fonyódi,Fonyód,6,Lengyeltóti,2128,374,189
Hagyárosbörönd,10931,község,Zala,1970.0,Zalaegerszegi,Zalaegerszeg,6,Bagod,1125,289,136
Hahót,10269,község,Zala,1960.0,Nagykanizsai,Nagykanizsa,2,Helyben – Locally,3901,1013,492
Hajdúbagos,26170,község,Hajdú-Bihar,960.0,Derecskei,Derecske,1,–,3744,1949,856
Hajdúböszörmény,3045,város,Hajdú-Bihar,971.0,Hajdúböszörményi,Hajdúböszörmény,1,–,37076,30951,12404
Hajdúdorog,12803,város,Hajdú-Bihar,970.0,Hajdúböszörményi,Hajdúböszörmény,1,–,10065,8622,3607
Hajdúhadház,10393,város,Hajdú-Bihar,981.0,Hajdúhadházi,Hajdúhadház,1,–,8782,12747,4216
Hajdúnánás,22406,város,Hajdú-Bihar,991.0,Hajdúnánási,Hajdúnánás,2,Helyben – Locally,25962,17038,6940
Hajdúsámson,31097,város,Hajdú-Bihar,950.0,Debreceni,Debrecen,1,–,6947,13039,4765
Hajdúszoboszló,5175,város,Hajdú-Bihar,1001.0,Hajdúszoboszlói,Hajdúszoboszló,1,–,23862,23735,11485
Hajdúszovát,17473,község,Hajdú-Bihar,1000.0,Hajdúszoboszlói,Hajdúszoboszló,1,–,5800,3032,1108
Hajmás,25830,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Baté,1111,212,75
Hajmáskér,15361,község,Veszprém,1910.0,Veszprémi,Veszprém,2,Helyben – Locally,3814,2828,1276
Hajós,18759,város,Bács-Kiskun,370.0,Kalocsai,Kalocsa,2,Helyben – Locally,8992,3013,1377
Halastó,29452,község,Vas,1770.0,Körmendi,Körmend,6,Molnaszecsőd,565,72,64
Halászi,26790,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,2,Helyben – Locally,3645,3134,1138
Halásztelek,9690,város,Pest,1360.0,Szigetszentmiklósi,Szigetszentmiklós,1,–,864,9758,3687
Halimba,7898,község,Veszprém,1830.0,Ajkai,Ajka,6,Ajka,1262,1133,443
Halmaj,27942,község,Borsod-Abaúj-Zemplén,670.0,Szikszói,Szikszó,2,Helyben – Locally,1260,1833,598
Halmajugra,11411,község,Heves,1060.0,Gyöngyösi,Gyöngyös,6,Markaz,2168,1279,446
Halogy,10676,község,Vas,1770.0,Körmendi,Körmend,6,Nádasd,705,264,142
Hangács,11226,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,6,Borsodszirák,2253,556,243
Hangony,25104,község,Borsod-Abaúj-Zemplén,620.0,Ózdi,Ózd,2,Helyben – Locally,3914,1587,586
Hantos,23427,község,Fejér,840.0,Sárbogárdi,Sárbogárd,6,Nagylók,3696,951,371
Harasztifalu,5713,község,Vas,1770.0,Körmendi,Körmend,5,Vasalja,789,158,84
Harc,14164,község,Tolna,1730.0,Szekszárdi,Szekszárd,6,Kölesd,1586,872,332
Harka,7649,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,5,Ágfalva,1100,2159,673
Harkakötöny,8350,község,Bács-Kiskun,410.0,Kiskunhalasi,Kiskunhalas,6,Kiskunhalas,5270,852,386
Harkány,21528,város,Baranya,310.0,Siklósi,Siklós,2,Helyben – Locally,2569,4303,2061
Háromfa,8837,község,Somogy,1450.0,Nagyatádi,Nagyatád,6,Lábod,4214,759,325
Háromhuta,12706,község,Borsod-Abaúj-Zemplén,640.0,Sárospataki,Sárospatak,6,Tolcsva,3780,106,77
Harsány,5847,község,Borsod-Abaúj-Zemplén,610.0,Miskolci,Miskolc,1,–,3653,2002,823
Hárskút,25566,község,Veszprém,1910.0,Veszprémi,Veszprém,6,Márkó,3446,662,243
Harta,18458,nagyközség,Bács-Kiskun,370.0,Kalocsai,Kalocsa,2,Helyben – Locally,12968,3285,1601
Hásságy,27881,község,Baranya,240.0,Bólyi,Bóly,6,Szederkény,800,259,140
Hatvan,22309,város,Heves,1071.0,Hatvani,Hatvan,2,Helyben – Locally,6631,20250,8972
Hédervár,12308,község,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,6,Darnózseli,1428,1233,456
Hedrehely,16726,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Mike,2551,378,178
Hegyesd,2422,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Monostorapáti,1105,152,91
Hegyeshalom,17905,nagyközség,Győr-Moson-Sopron,890.0,Mosonmagyaróvári,Mosonmagyaróvár,2,Helyben – Locally,5266,3445,1450
Hegyfalu,32188,község,Vas,1790.0,Sárvári,Sárvár,5,Bő,1189,783,310
Hegyháthodász,14997,község,Vas,1770.0,Körmendi,Körmend,6,Nádasd,808,161,100
Hegyhátmaróc,30951,község,Baranya,260.0,Komlói,Komló,6,Egyházaskozár,759,126,87
Hegyhátsál,30216,község,Vas,1770.0,Körmendi,Körmend,6,Nádasd,458,162,89
Hegyhátszentjakab,18032,község,Vas,1770.0,Körmendi,Körmend,6,Őriszentpéter,947,260,167
Hegyhátszentmárton,21838,község,Vas,1770.0,Körmendi,Körmend,6,Ivánc,1274,61,54
Hegyhátszentpéter,8226,község,Vas,1820.0,Vasvári,Vasvár,5,Kám,684,130,89
Hegykő,18403,község,Győr-Moson-Sopron,910.0,Soproni,Sopron,2,Helyben – Locally,2681,1604,573
Hegymagas,25803,község,Veszprém,1890.0,Tapolcai,Tapolca,6,Szigliget,789,277,132
Hegymeg,2468,község,Borsod-Abaúj-Zemplén,550.0,Edelényi,Edelény,6,Borsodszirák,570,118,55
Hegyszentmárton,21023,község,Baranya,300.0,Sellyei,Sellye,6,Baksa,1878,413,159
Héhalom,3993,község,Nógrád,1180.0,Pásztói,Pásztó,2,Helyben – Locally,1867,979,407
Hejce,22187,község,Borsod-Abaúj-Zemplén,570.0,Gönci,Gönc,6,Telkibánya,952,213,180
Hejőbába,6655,község,Borsod-Abaúj-Zemplén,680.0,Tiszaújvárosi,Tiszaújváros,2,Helyben – Locally,1872,1910,547
Hejőkeresztúr,4604,község,Borsod-Abaúj-Zemplén,680.0,Tiszaújvárosi,Tiszaújváros,6,Hejőbába,1028,1020,411
Hejőkürt,2282,község,Borsod-Abaúj-Zemplén,680.0,Tiszaújvárosi,Tiszaújváros,6,Tiszapalkonya,1491,274,148
Hejőpapi,16780,község,Borsod-Abaúj-Zemplén,590.0,Mezőcsáti,Mezőcsát,5,Mezőcsát,1702,1138,413
Hejőszalonta,12159,község,Borsod-Abaúj-Zemplén,680.0,Tiszaújvárosi,Tiszaújváros,6,Nemesbikk,1097,844,249
Helesfa,17190,község,Baranya,320.0,Szentlőrinci,Szentlőrinc,6,Szentlőrinc,987,477,136
Helvécia,4093,nagyközség,Bács-Kiskun,380.0,Kecskeméti,Kecskemét,1,–,5647,4540,1701
Hencida,29391,község,Hajdú-Bihar,940.0,Berettyóújfalui,Berettyóújfalu,2,Helyben – Locally,3479,1159,435
Hencse,9946,község,Somogy,1430.0,Kaposvári,Kaposvár,6,Mike,711,320,140
Herceghalom,33552,község,Pest,1230.0,Budakeszi,Budakeszi,1,–,734,2516,907
Hercegkút,30137,község,Borsod-Abaúj-Zemplén,640.0,Sárospataki,Sárospatak,5,Bodrogolaszi,781,676,250
Hercegszántó,12937,község,Bács-Kiskun,350.0,Bajai,Baja,1,–,6855,2020,1112
Heréd,20242,község,Heves,1070.0,Hatvani,Hatvan,2,Helyben – Locally,1396,1842,787
Héreg,11891,község,Komárom-Esztergom,1150.0,Tatabányai,Tatabánya,6,Gyermely,2714,987,436
Herencsény,5324,község,Nógrád,1160.0,Balassagyarmati,Balassagyarmat,6,Cserhátsurány,3318,584,293
Herend,23658,város,Veszprém,1910.0,Veszprémi,Veszprém,1,–,1956,3367,1315
Heresznye,24846,község,Somogy,1400.0,Barcsi,Barcs,5,Bolhó,990,210,160
Hermánszeg,12061,község,Szabolcs-Szatmár-Bereg,1500.0,Fehérgyarmati,Fehérgyarmat,6,Cégénydányád,520,245,135
